video_id,filename,class,class_name,pool_type,lighting,camera_angle,confidence
V0051,sample_0051.jpg,1,drowning_active,indoor,artificial,side_view,0.85
V0052,sample_0052.jpg,1,drowning_active,outdoor,low_light,overhead,0.96
V0053,sample_0053.jpg,2,drowning_passive,outdoor,natural,side_view,0.97
V0054,sample_0054.jpg,2,drowning_passive,indoor,artificial,overhead,0.92
V0055,sample_0055.jpg,0,normal_swimming,indoor,natural,side_view,0.84
V0056,sample_0056.jpg,3,swimming_distress,outdoor,artificial,side_view,0.88
V0057,sample_0057.jpg,0,normal_swimming,outdoor,low_light,45_degree,0.82
V0058,sample_0058.jpg,1,drowning_active,outdoor,artificial,45_degree,0.8
V0059,sample_0059.jpg,2,drowning_passive,outdoor,low_light,side_view,0.94
V0060,sample_0060.jpg,0,normal_swimming,outdoor,artificial,45_degree,0.91
V0061,sample_0061.jpg,1,drowning_active,indoor,artificial,side_view,0.86
V0062,sample_0062.jpg,3,swimming_distress,outdoor,low_light,overhead,0.8
V0063,sample_0063.jpg,2,drowning_passive,outdoor,natural,45_degree,0.8
V0064,sample_0064.jpg,0,normal_swimming,outdoor,artificial,45_degree,0.76
V0065,sample_0065.jpg,3,swimming_distress,outdoor,natural,45_degree,0.87
V0066,sample_0066.jpg,1,drowning_active,outdoor,artificial,side_view,0.83
V0067,sample_0067.jpg,1,drowning_active,indoor,natural,45_degree,0.93
V0068,sample_0068.jpg,3,swimming_distress,outdoor,natural,overhead,0.84
V0069,sample_0069.jpg,3,swimming_distress,indoor,natural,side_view,0.83
V0070,sample_0070.jpg,0,normal_swimming,outdoor,artificial,overhead,0.77
V0071,sample_0071.jpg,1,drowning_active,indoor,low_light,45_degree,0.94
V0072,sample_0072.jpg,0,normal_swimming,outdoor,low_light,overhead,0.77
V0073,sample_0073.jpg,3,swimming_distress,indoor,low_light,side_view,0.94
V0074,sample_0074.jpg,3,swimming_distress,indoor,natural,side_view,0.78
V0075,sample_0075.jpg,0,normal_swimming,indoor,low_light,overhead,0.77
V0076,sample_0076.jpg,0,normal_swimming,outdoor,natural,45_degree,0.9
V0077,sample_0077.jpg,0,normal_swimming,outdoor,low_light,side_view,0.86
V0078,sample_0078.jpg,0,normal_swimming,indoor,low_light,45_degree,0.85
V0079,sample_0079.jpg,2,drowning_passive,indoor,low_light,side_view,0.77
V0080,sample_0080.jpg,2,drowning_passive,indoor,artificial,side_view,0.9
V0081,sample_0081.jpg,0,normal_swimming,outdoor,low_light,overhead,0.84
V0082,sample_0082.jpg,1,drowning_active,outdoor,low_light,45_degree,0.93
V0083,sample_0083.jpg,3,swimming_distress,indoor,low_light,overhead,0.85
V0084,sample_0084.jpg,2,drowning_passive,outdoor,artificial,side_view,0.89
V0085,sample_0085.jpg,1,drowning_active,outdoor,artificial,side_view,0.98
V0086,sample_0086.jpg,3,swimming_distress,indoor,low_light,45_degree,0.75
V0087,sample_0087.jpg,1,drowning_active,indoor,artificial,45_degree,0.83
V0088,sample_0088.jpg,0,normal_swimming,indoor,natural,side_view,0.87
V0089,sample_0089.jpg,1,drowning_active,outdoor,low_light,45_degree,0.92
V0090,sample_0090.jpg,3,swimming_distress,indoor,natural,overhead,0.88
V0091,sample_0091.jpg,3,swimming_distress,indoor,low_light,overhead,0.88
V0092,sample_0092.jpg,1,drowning_active,outdoor,artificial,side_view,0.83
V0093,sample_0093.jpg,2,drowning_passive,outdoor,low_light,side_view,0.99
V0094,sample_0094.jpg,2,drowning_passive,indoor,low_light,45_degree,0.92
V0095,sample_0095.jpg,3,swimming_distress,indoor,artificial,side_view,0.79
V0096,sample_0096.jpg,0,normal_swimming,indoor,low_light,side_view,0.78
V0097,sample_0097.jpg,2,drowning_passive,indoor,natural,overhead,0.96
V0098,sample_0098.jpg,1,drowning_active,indoor,artificial,45_degree,0.81
V0099,sample_0099.jpg,1,drowning_active,outdoor,natural,overhead,0.9
V0100,sample_0100.jpg,2,drowning_passive,indoor,low_light,side_view,0.9
V0101,sample_0101.jpg,2,drowning_passive,outdoor,natural,side_view,0.97
V0102,sample_0102.jpg,0,normal_swimming,outdoor,low_light,overhead,0.95
V0103,sample_0103.jpg,3,swimming_distress,outdoor,natural,overhead,0.78
V0104,sample_0104.jpg,0,normal_swimming,indoor,natural,45_degree,0.82
V0105,sample_0105.jpg,3,swimming_distress,outdoor,artificial,overhead,0.79
V0106,sample_0106.jpg,3,swimming_distress,indoor,artificial,side_view,0.93
V0107,sample_0107.jpg,1,drowning_active,indoor,low_light,side_view,0.95
V0108,sample_0108.jpg,1,drowning_active,indoor,natural,overhead,0.89
V0109,sample_0109.jpg,0,normal_swimming,indoor,artificial,45_degree,0.81
V0110,sample_0110.jpg,3,swimming_distress,outdoor,artificial,overhead,0.86
V0111,sample_0111.jpg,2,drowning_passive,indoor,natural,45_degree,0.88
V0112,sample_0112.jpg,1,drowning_active,outdoor,artificial,side_view,0.92
V0113,sample_0113.jpg,3,swimming_distress,indoor,low_light,side_view,0.84
V0114,sample_0114.jpg,2,drowning_passive,indoor,artificial,45_degree,0.94
V0115,sample_0115.jpg,3,swimming_distress,outdoor,natural,45_degree,0.81
V0116,sample_0116.jpg,1,drowning_active,outdoor,artificial,side_view,0.83
V0117,sample_0117.jpg,2,drowning_passive,indoor,artificial,side_view,0.98
V0118,sample_0118.jpg,2,drowning_passive,indoor,artificial,side_view,0.94
V0119,sample_0119.jpg,1,drowning_active,indoor,artificial,45_degree,0.9
V0120,sample_0120.jpg,3,swimming_distress,indoor,low_light,side_view,0.85
V0121,sample_0121.jpg,1,drowning_active,outdoor,low_light,side_view,0.85
V0122,sample_0122.jpg,2,drowning_passive,indoor,artificial,45_degree,0.81
V0123,sample_0123.jpg,2,drowning_passive,indoor,artificial,overhead,0.87
V0124,sample_0124.jpg,2,drowning_passive,indoor,low_light,side_view,0.9
V0125,sample_0125.jpg,1,drowning_active,indoor,artificial,side_view,0.8
V0126,sample_0126.jpg,3,swimming_distress,outdoor,natural,side_view,0.93
V0127,sample_0127.jpg,3,swimming_distress,outdoor,natural,overhead,0.89
V0128,sample_0128.jpg,0,normal_swimming,indoor,low_light,side_view,0.79
V0129,sample_0129.jpg,2,drowning_passive,indoor,low_light,side_view,0.87
V0130,sample_0130.jpg,1,drowning_active,outdoor,artificial,45_degree,0.75
V0131,sample_0131.jpg,3,swimming_distress,indoor,artificial,overhead,0.76
V0132,sample_0132.jpg,1,drowning_active,indoor,natural,45_degree,0.79
V0133,sample_0133.jpg,2,drowning_passive,indoor,low_light,overhead,0.94
V0134,sample_0134.jpg,1,drowning_active,indoor,artificial,overhead,0.84
V0135,sample_0135.jpg,0,normal_swimming,indoor,low_light,overhead,0.8
V0136,sample_0136.jpg,3,swimming_distress,outdoor,natural,side_view,0.89
V0137,sample_0137.jpg,0,normal_swimming,outdoor,artificial,45_degree,0.87
V0138,sample_0138.jpg,1,drowning_active,indoor,natural,overhead,0.95
V0139,sample_0139.jpg,0,normal_swimming,outdoor,low_light,side_view,0.89
V0140,sample_0140.jpg,2,drowning_passive,indoor,natural,overhead,0.88
V0141,sample_0141.jpg,2,drowning_passive,outdoor,artificial,side_view,0.91
V0142,sample_0142.jpg,1,drowning_active,outdoor,natural,side_view,0.84
V0143,sample_0143.jpg,1,drowning_active,indoor,low_light,side_view,0.75
V0144,sample_0144.jpg,1,drowning_active,indoor,artificial,overhead,0.83
V0145,sample_0145.jpg,1,drowning_active,indoor,artificial,overhead,0.99
V0146,sample_0146.jpg,0,normal_swimming,outdoor,natural,45_degree,0.83
V0147,sample_0147.jpg,2,drowning_passive,outdoor,low_light,overhead,0.99
V0148,sample_0148.jpg,3,swimming_distress,indoor,artificial,45_degree,0.84
V0149,sample_0149.jpg,1,drowning_active,indoor,artificial,overhead,0.76
V0150,sample_0150.jpg,2,drowning_passive,outdoor,low_light,overhead,0.89
V0151,sample_0151.jpg,3,swimming_distress,outdoor,low_light,side_view,0.83
V0152,sample_0152.jpg,2,drowning_passive,indoor,natural,overhead,0.9
V0153,sample_0153.jpg,1,drowning_active,indoor,artificial,45_degree,0.96
V0154,sample_0154.jpg,1,drowning_active,outdoor,low_light,side_view,0.86
V0155,sample_0155.jpg,1,drowning_active,indoor,low_light,overhead,0.84
V0156,sample_0156.jpg,3,swimming_distress,outdoor,artificial,overhead,0.79
V0157,sample_0157.jpg,3,swimming_distress,indoor,low_light,overhead,0.91
V0158,sample_0158.jpg,0,normal_swimming,indoor,natural,45_degree,0.77
V0159,sample_0159.jpg,1,drowning_active,outdoor,natural,45_degree,0.94
V0160,sample_0160.jpg,2,drowning_passive,indoor,natural,side_view,0.88
V0161,sample_0161.jpg,2,drowning_passive,outdoor,low_light,45_degree,0.95
V0162,sample_0162.jpg,3,swimming_distress,outdoor,low_light,side_view,0.76
V0163,sample_0163.jpg,1,drowning_active,indoor,artificial,45_degree,0.96
V0164,sample_0164.jpg,0,normal_swimming,indoor,artificial,45_degree,0.96
V0165,sample_0165.jpg,1,drowning_active,indoor,low_light,45_degree,0.81
V0166,sample_0166.jpg,3,swimming_distress,outdoor,natural,side_view,0.81
V0167,sample_0167.jpg,1,drowning_active,outdoor,low_light,side_view,0.86
V0168,sample_0168.jpg,3,swimming_distress,outdoor,low_light,side_view,0.83
V0169,sample_0169.jpg,1,drowning_active,outdoor,low_light,45_degree,0.85
V0170,sample_0170.jpg,0,normal_swimming,outdoor,artificial,side_view,0.93
V0171,sample_0171.jpg,0,normal_swimming,indoor,low_light,45_degree,0.88
V0172,sample_0172.jpg,3,swimming_distress,indoor,artificial,side_view,0.93
V0173,sample_0173.jpg,3,swimming_distress,indoor,natural,overhead,0.87
V0174,sample_0174.jpg,2,drowning_passive,indoor,low_light,overhead,0.96
V0175,sample_0175.jpg,1,drowning_active,outdoor,low_light,45_degree,0.88
V0176,sample_0176.jpg,2,drowning_passive,outdoor,natural,45_degree,0.81
V0177,sample_0177.jpg,2,drowning_passive,indoor,artificial,side_view,0.87
V0178,sample_0178.jpg,2,drowning_passive,outdoor,low_light,overhead,0.77
V0179,sample_0179.jpg,2,drowning_passive,indoor,low_light,side_view,0.96
V0180,sample_0180.jpg,1,drowning_active,indoor,natural,side_view,0.97
V0181,sample_0181.jpg,0,normal_swimming,outdoor,natural,side_view,0.95
V0182,sample_0182.jpg,0,normal_swimming,outdoor,low_light,overhead,0.92
V0183,sample_0183.jpg,1,drowning_active,indoor,low_light,45_degree,0.87
V0184,sample_0184.jpg,2,drowning_passive,outdoor,artificial,45_degree,0.86
V0185,sample_0185.jpg,0,normal_swimming,indoor,natural,overhead,0.77
V0186,sample_0186.jpg,3,swimming_distress,indoor,low_light,side_view,0.97
V0187,sample_0187.jpg,3,swimming_distress,indoor,natural,side_view,0.76
V0188,sample_0188.jpg,2,drowning_passive,indoor,artificial,side_view,0.86
V0189,sample_0189.jpg,3,swimming_distress,indoor,natural,side_view,0.78
V0190,sample_0190.jpg,1,drowning_active,indoor,low_light,45_degree,0.87
V0191,sample_0191.jpg,0,normal_swimming,indoor,low_light,overhead,0.76
V0192,sample_0192.jpg,3,swimming_distress,indoor,artificial,45_degree,0.85
V0193,sample_0193.jpg,3,swimming_distress,indoor,low_light,side_view,0.8
V0194,sample_0194.jpg,3,swimming_distress,outdoor,artificial,side_view,0.95
V0195,sample_0195.jpg,0,normal_swimming,outdoor,natural,45_degree,0.95
V0196,sample_0196.jpg,1,drowning_active,indoor,natural,45_degree,0.85
V0197,sample_0197.jpg,1,drowning_active,indoor,artificial,side_view,0.92
V0198,sample_0198.jpg,2,drowning_passive,indoor,artificial,overhead,0.93
V0199,sample_0199.jpg,3,swimming_distress,indoor,low_light,side_view,0.94
V0200,sample_0200.jpg,0,normal_swimming,outdoor,natural,side_view,0.76
V0201,sample_0201.jpg,2,drowning_passive,indoor,natural,overhead,0.82
V0202,sample_0202.jpg,3,swimming_distress,indoor,artificial,45_degree,0.84
V0203,sample_0203.jpg,2,drowning_passive,outdoor,natural,overhead,0.88
V0204,sample_0204.jpg,0,normal_swimming,indoor,artificial,overhead,0.81
V0205,sample_0205.jpg,0,normal_swimming,indoor,artificial,overhead,0.77
V0206,sample_0206.jpg,2,drowning_passive,outdoor,natural,overhead,0.82
V0207,sample_0207.jpg,2,drowning_passive,indoor,natural,side_view,0.98
V0208,sample_0208.jpg,0,normal_swimming,outdoor,artificial,overhead,0.96
V0209,sample_0209.jpg,1,drowning_active,outdoor,natural,45_degree,0.91
V0210,sample_0210.jpg,2,drowning_passive,outdoor,low_light,45_degree,0.76
V0211,sample_0211.jpg,3,swimming_distress,outdoor,natural,overhead,0.76
V0212,sample_0212.jpg,1,drowning_active,outdoor,natural,overhead,0.95
V0213,sample_0213.jpg,0,normal_swimming,indoor,artificial,overhead,0.97
V0214,sample_0214.jpg,2,drowning_passive,outdoor,low_light,overhead,0.88
V0215,sample_0215.jpg,0,normal_swimming,outdoor,natural,45_degree,0.85
V0216,sample_0216.jpg,0,normal_swimming,indoor,artificial,45_degree,0.75
V0217,sample_0217.jpg,2,drowning_passive,outdoor,artificial,side_view,0.88
V0218,sample_0218.jpg,3,swimming_distress,indoor,artificial,side_view,0.96
V0219,sample_0219.jpg,3,swimming_distress,indoor,low_light,45_degree,0.96
V0220,sample_0220.jpg,0,normal_swimming,indoor,low_light,overhead,0.92
V0221,sample_0221.jpg,0,normal_swimming,outdoor,low_light,side_view,0.93
V0222,sample_0222.jpg,1,drowning_active,outdoor,low_light,side_view,0.91
V0223,sample_0223.jpg,1,drowning_active,indoor,artificial,overhead,0.8
V0224,sample_0224.jpg,0,normal_swimming,outdoor,natural,45_degree,0.99
V0225,sample_0225.jpg,3,swimming_distress,outdoor,natural,side_view,0.84
V0226,sample_0226.jpg,1,drowning_active,indoor,natural,45_degree,0.8
V0227,sample_0227.jpg,2,drowning_passive,indoor,natural,45_degree,0.92
V0228,sample_0228.jpg,0,normal_swimming,indoor,low_light,overhead,0.84
V0229,sample_0229.jpg,1,drowning_active,indoor,natural,side_view,0.96
V0230,sample_0230.jpg,0,normal_swimming,outdoor,artificial,45_degree,0.92
V0231,sample_0231.jpg,2,drowning_passive,indoor,natural,side_view,0.82
V0232,sample_0232.jpg,3,swimming_distress,indoor,natural,45_degree,0.96
V0233,sample_0233.jpg,1,drowning_active,outdoor,low_light,45_degree,0.84
V0234,sample_0234.jpg,3,swimming_distress,indoor,artificial,45_degree,0.87
V0235,sample_0235.jpg,3,swimming_distress,indoor,low_light,overhead,0.85
V0236,sample_0236.jpg,2,drowning_passive,indoor,artificial,side_view,0.8
V0237,sample_0237.jpg,2,drowning_passive,outdoor,low_light,side_view,0.96
V0238,sample_0238.jpg,0,normal_swimming,indoor,artificial,45_degree,0.93
V0239,sample_0239.jpg,2,drowning_passive,indoor,low_light,side_view,0.83
V0240,sample_0240.jpg,3,swimming_distress,indoor,low_light,45_degree,0.75
V0241,sample_0241.jpg,1,drowning_active,outdoor,natural,side_view,0.79
V0242,sample_0242.jpg,2,drowning_passive,indoor,low_light,side_view,0.8
V0243,sample_0243.jpg,3,swimming_distress,indoor,artificial,overhead,0.8
V0244,sample_0244.jpg,2,drowning_passive,indoor,natural,overhead,0.81
V0245,sample_0245.jpg,3,swimming_distress,indoor,low_light,side_view,0.84
V0246,sample_0246.jpg,0,normal_swimming,indoor,artificial,overhead,0.79
V0247,sample_0247.jpg,0,normal_swimming,indoor,natural,overhead,0.87
V0248,sample_0248.jpg,2,drowning_passive,indoor,low_light,side_view,0.83
V0249,sample_0249.jpg,0,normal_swimming,outdoor,natural,side_view,0.94
V0250,sample_0250.jpg,1,drowning_active,indoor,low_light,side_view,0.97
V0251,sample_0251.jpg,1,drowning_active,indoor,natural,overhead,0.8
V0252,sample_0252.jpg,1,drowning_active,outdoor,natural,side_view,0.92
V0253,sample_0253.jpg,3,swimming_distress,outdoor,natural,45_degree,0.89
V0254,sample_0254.jpg,2,drowning_passive,outdoor,natural,overhead,0.95
V0255,sample_0255.jpg,1,drowning_active,outdoor,artificial,side_view,0.84
V0256,sample_0256.jpg,2,drowning_passive,indoor,artificial,overhead,0.86
V0257,sample_0257.jpg,1,drowning_active,outdoor,low_light,45_degree,0.91
V0258,sample_0258.jpg,3,swimming_distress,outdoor,low_light,45_degree,0.8
V0259,sample_0259.jpg,3,swimming_distress,indoor,artificial,45_degree,0.78
V0260,sample_0260.jpg,3,swimming_distress,outdoor,low_light,overhead,0.82
V0261,sample_0261.jpg,1,drowning_active,indoor,natural,overhead,0.94
V0262,sample_0262.jpg,3,swimming_distress,outdoor,low_light,overhead,0.76
V0263,sample_0263.jpg,1,drowning_active,outdoor,natural,side_view,0.81
V0264,sample_0264.jpg,1,drowning_active,outdoor,artificial,overhead,0.81
V0265,sample_0265.jpg,1,drowning_active,indoor,low_light,45_degree,0.81
V0266,sample_0266.jpg,1,drowning_active,indoor,artificial,45_degree,0.75
V0267,sample_0267.jpg,0,normal_swimming,indoor,artificial,45_degree,0.97
V0268,sample_0268.jpg,0,normal_swimming,indoor,natural,45_degree,0.93
V0269,sample_0269.jpg,1,drowning_active,indoor,natural,side_view,0.88
V0270,sample_0270.jpg,2,drowning_passive,indoor,natural,45_degree,0.87
V0271,sample_0271.jpg,1,drowning_active,indoor,natural,45_degree,0.87
V0272,sample_0272.jpg,3,swimming_distress,outdoor,low_light,side_view,0.85
V0273,sample_0273.jpg,3,swimming_distress,indoor,artificial,overhead,0.91
V0274,sample_0274.jpg,2,drowning_passive,outdoor,low_light,side_view,0.82
V0275,sample_0275.jpg,2,drowning_passive,indoor,low_light,45_degree,0.84
V0276,sample_0276.jpg,3,swimming_distress,outdoor,natural,45_degree,0.86
V0277,sample_0277.jpg,3,swimming_distress,outdoor,natural,overhead,0.84
V0278,sample_0278.jpg,2,drowning_passive,outdoor,natural,overhead,0.92
V0279,sample_0279.jpg,0,normal_swimming,outdoor,low_light,45_degree,0.8
V0280,sample_0280.jpg,1,drowning_active,indoor,low_light,overhead,0.96
V0281,sample_0281.jpg,2,drowning_passive,outdoor,natural,overhead,0.95
V0282,sample_0282.jpg,1,drowning_active,outdoor,low_light,45_degree,0.87
V0283,sample_0283.jpg,1,drowning_active,indoor,artificial,overhead,0.85
V0284,sample_0284.jpg,0,normal_swimming,indoor,natural,side_view,0.84
V0285,sample_0285.jpg,0,normal_swimming,outdoor,artificial,overhead,0.94
V0286,sample_0286.jpg,2,drowning_passive,indoor,natural,45_degree,0.79
V0287,sample_0287.jpg,0,normal_swimming,outdoor,natural,45_degree,0.91
V0288,sample_0288.jpg,1,drowning_active,outdoor,natural,side_view,0.95
V0289,sample_0289.jpg,2,drowning_passive,indoor,natural,overhead,0.97
V0290,sample_0290.jpg,0,normal_swimming,outdoor,natural,overhead,0.76
V0291,sample_0291.jpg,0,normal_swimming,outdoor,natural,side_view,0.77
V0292,sample_0292.jpg,0,normal_swimming,indoor,low_light,side_view,0.77
V0293,sample_0293.jpg,3,swimming_distress,outdoor,low_light,side_view,0.94
V0294,sample_0294.jpg,2,drowning_passive,indoor,natural,overhead,0.79
V0295,sample_0295.jpg,0,normal_swimming,outdoor,artificial,45_degree,0.88
V0296,sample_0296.jpg,3,swimming_distress,outdoor,low_light,45_degree,0.78
V0297,sample_0297.jpg,2,drowning_passive,indoor,artificial,side_view,0.9
V0298,sample_0298.jpg,3,swimming_distress,outdoor,natural,45_degree,0.86
V0299,sample_0299.jpg,3,swimming_distress,indoor,natural,overhead,0.81
V0300,sample_0300.jpg,3,swimming_distress,outdoor,natural,45_degree,0.87
V0301,sample_0301.jpg,3,swimming_distress,outdoor,natural,45_degree,0.96
V0302,sample_0302.jpg,1,drowning_active,outdoor,artificial,overhead,0.9
V0303,sample_0303.jpg,3,swimming_distress,outdoor,low_light,overhead,0.94
V0304,sample_0304.jpg,2,drowning_passive,outdoor,artificial,45_degree,0.89
V0305,sample_0305.jpg,3,swimming_distress,indoor,natural,overhead,0.81
V0306,sample_0306.jpg,3,swimming_distress,outdoor,natural,overhead,0.93
V0307,sample_0307.jpg,1,drowning_active,indoor,natural,side_view,0.75
V0308,sample_0308.jpg,0,normal_swimming,outdoor,natural,45_degree,0.88
V0309,sample_0309.jpg,0,normal_swimming,indoor,artificial,45_degree,0.8
V0310,sample_0310.jpg,2,drowning_passive,indoor,natural,45_degree,0.86
V0311,sample_0311.jpg,1,drowning_active,outdoor,natural,overhead,0.79
V0312,sample_0312.jpg,0,normal_swimming,indoor,artificial,45_degree,0.82
V0313,sample_0313.jpg,2,drowning_passive,outdoor,artificial,side_view,0.79
V0314,sample_0314.jpg,1,drowning_active,indoor,artificial,side_view,0.8
V0315,sample_0315.jpg,0,normal_swimming,outdoor,natural,overhead,0.9
V0316,sample_0316.jpg,1,drowning_active,indoor,artificial,side_view,0.84
V0317,sample_0317.jpg,1,drowning_active,indoor,artificial,45_degree,0.79
V0318,sample_0318.jpg,2,drowning_passive,indoor,low_light,45_degree,0.94
V0319,sample_0319.jpg,3,swimming_distress,indoor,artificial,45_degree,0.98
V0320,sample_0320.jpg,2,drowning_passive,outdoor,natural,45_degree,0.98
V0321,sample_0321.jpg,0,normal_swimming,outdoor,artificial,overhead,0.77
V0322,sample_0322.jpg,0,normal_swimming,outdoor,natural,45_degree,0.81
V0323,sample_0323.jpg,1,drowning_active,outdoor,low_light,side_view,0.75
V0324,sample_0324.jpg,3,swimming_distress,indoor,natural,side_view,0.94
V0325,sample_0325.jpg,0,normal_swimming,outdoor,low_light,overhead,0.79
V0326,sample_0326.jpg,1,drowning_active,outdoor,artificial,overhead,0.98
V0327,sample_0327.jpg,1,drowning_active,indoor,artificial,45_degree,0.78
V0328,sample_0328.jpg,2,drowning_passive,outdoor,natural,45_degree,0.9
V0329,sample_0329.jpg,0,normal_swimming,outdoor,artificial,45_degree,0.79
V0330,sample_0330.jpg,0,normal_swimming,outdoor,natural,side_view,0.99
V0331,sample_0331.jpg,2,drowning_passive,outdoor,low_light,side_view,0.94
V0332,sample_0332.jpg,0,normal_swimming,indoor,artificial,45_degree,0.86
V0333,sample_0333.jpg,2,drowning_passive,outdoor,artificial,side_view,0.8
V0334,sample_0334.jpg,2,drowning_passive,indoor,low_light,45_degree,0.84
V0335,sample_0335.jpg,2,drowning_passive,indoor,low_light,overhead,0.88
V0336,sample_0336.jpg,0,normal_swimming,outdoor,natural,45_degree,0.75
V0337,sample_0337.jpg,3,swimming_distress,indoor,artificial,overhead,0.8
V0338,sample_0338.jpg,0,normal_swimming,indoor,low_light,side_view,0.84
V0339,sample_0339.jpg,1,drowning_active,outdoor,artificial,overhead,0.91
V0340,sample_0340.jpg,2,drowning_passive,outdoor,artificial,overhead,0.98
V0341,sample_0341.jpg,0,normal_swimming,outdoor,natural,side_view,0.78
V0342,sample_0342.jpg,0,normal_swimming,outdoor,artificial,side_view,0.98
V0343,sample_0343.jpg,2,drowning_passive,outdoor,artificial,45_degree,0.75
V0344,sample_0344.jpg,0,normal_swimming,outdoor,low_light,45_degree,0.92
V0345,sample_0345.jpg,2,drowning_passive,outdoor,low_light,45_degree,0.81
V0346,sample_0346.jpg,0,normal_swimming,indoor,artificial,overhead,0.95
V0347,sample_0347.jpg,2,drowning_passive,indoor,low_light,overhead,0.92
V0348,sample_0348.jpg,2,drowning_passive,outdoor,natural,45_degree,0.76
V0349,sample_0349.jpg,0,normal_swimming,outdoor,artificial,45_degree,0.82
V0350,sample_0350.jpg,2,drowning_passive,outdoor,low_light,overhead,0.84
V0351,sample_0351.jpg,0,normal_swimming,indoor,natural,side_view,0.96
V0352,sample_0352.jpg,2,drowning_passive,outdoor,low_light,45_degree,0.81
V0353,sample_0353.jpg,3,swimming_distress,indoor,low_light,side_view,0.85
V0354,sample_0354.jpg,0,normal_swimming,outdoor,low_light,side_view,0.82
V0355,sample_0355.jpg,2,drowning_passive,indoor,low_light,45_degree,0.82
